c,1,2353
bash,1,1949
javascript,1,1764
php,1,1454
java,1,1346
c,1,1317
basic,1,1078
pascal,1,866
awk,1,842
assembler,1,710
pl,sql,1,661
visual,basic,617
python,1,612
fortran,1,460
xslt,453
ruby,1,451
csh,1,435
lisp,scheme,395
tcl,tk,358
vbscript,338
c,1,274
transact,sql,271
delphi,1,204
cobol,1,200
postscript,1,174
prolog,160
matlab,158
objective,c,152
actionscript,136
sql,116
forth,116
foxpro,xbase,111
haskell,108
applescript,102
modula,2,101
logo,99
coldfusion,90
rexx,88
r,86
lua,83
mathematica,80
dcl,79
ada,76
pl,1,1,73
smalltalk,71
vhdl,66
ksh,58
maple,57
ml,54
verilog,50
ocaml,46
idl,41
erlang,33
rpg,1,30
sh,29
groovy,29
spss,29
html,26
sas,22
inform,22
eiffel,20
lingo,20
moo,20
simula,20
apl,17
sed,15
intercal,1,13
algol,12
lpc,12
snobol,12
aspectj,12
css,11
zsh,11
bash,10
xml,10
j,,10
asp,9
brainfuck,8
miranda,7
powerbuilder,7
tex,7
abap,6
d,6
expect,6
jcl,6
oberon,6
pl,sql,6
shell,6
io,6
c,5
clipper,5
icon,5
rebol,5
scheme,5
vba,5
emacs,lisp,4
fortran,4
hypertalk,4
informix,4gl,4
labview,4
lotusscript,4
msdos,batch,4
mumps,4
occam,4
pascal,4
perl,4
php,4
postscript,4
arexx,3
awk,3
basic,3
bcpl,3
c,,3
latex,3
lolcode,3
m4,3
modula,3,3
msdos,3
perl,6,3
plpgsql,3
4d,2
4gl,2
ab,initio,2
assembler,2
assembly,2
b,2
befunge,2
bourne,shell,2
c,,2
ca,clipper,2
dhtml,2
dos,shell,2
e,2
easytrieve,2
foxpro,2
haxe,2
ide,2
j,2
jade,2
java,2
kixtart,2
lisp,2
make,2
mapper,2
natural,2
nqc,2
oop,2
perl6,2
pike,2
pir,2
pl,pgsql,2
pop,11,2
powershell,2
progress,2
python,2
ratfor,2
realbasic,2
regular,expressions,2
rpl,2
ruby,2
s,2
s3,2
sather,2
spl,2
sqr,2
stata,2
systemverilog,2
tads,2
tencore,2
tutor,2
vb,net,2
visual,c,,2
xhtml,2
xquery,2
yacc,2
net,1
1c,1
4th,dimension,1
action,,1
actor,1
adobe,flex,2
advanced,revelation,open,insight,1
aid,1
aldor,1
algol,60,1
algol,60,1,1
algol,68,1
amos,1
ampl,1
ansys,apdl,1
ant,1
apple,hypertalk,1
applicationmaster,1
arabic,1
arl,1
atlas,1
autoit,1
autoit,v3,1
axiom,xl,1
b,bcpl,1
bcpl,,1
beanshell,1
bpm,1
breeve,1
bst,1
ca,ideal,1
ca,vo,1
cache,objectscript,1
caml,1
cgi,1
cheshire,1
cl,1
clarion,1
clip,1
clipper,87,1
clist,1
cobol,1
comal,1
commodore,basic,1
context,free,1
coral,1
csh,1
csound,1
ct,1
cyclone,1
dataease,1
dataflex,1
dc,1
dec,scan,1
delphi,1
dibol,1
dos,batch,files,1
dos,batch,script,1
drupal,form,api,1
dyna,c,1
elan,1
elisp,1
esterel,1
euphoria,1
exim,1
f,,1
fdt,fpl,1
filemaker,1
filemaker,,1
focal,1
formulaone,1
fuego,languaje,for,bpms,from,aqualogic,of,bea,,1
g,1
gams,1
generic,relational,algebra,1
genro,bdl,4js,,1
glish,1
gmake,1
goto,,1
hmtl,1
hq9,,1
hyperscript,1
ia32,x86,1
icarus,1
iec,6113,1,1
iitran,1
informatica,ab,initio,1
informix,1
informix,4,gl,1
intel,ixp,microcode,v2,1
intercal,1
interface,1
internal,languages,1
ios,1
ircii,1
isis,pl,1
javascript,1
joss,1
joy,1
jsp,1
jython,1
kaya,1
kcml,1
kix,1
klingon,1
krc,1
ksh93,1
ladder,logic,1
lambda,1
language,of,programmable,microcalculator,1
lex,1
lex,yacc,yapp,1
lisp,style,macros,1
lolcat,1
lolpython,1
lsl,1
m,1
m204,1
mad,1
madd,1
mapbasic,1
mark,iv,1
maude,1
mdl,1
megazeux,1
mel,1
mercury,1
metapost,1
mips,1
model,204,user,language,1
mozart,1
ms,dos,batch,1
multithreaded,1
mush,1
mushcode,1
mysql,1
na,1
nasl,1
neat,3,1
netlogo,1
newtonscript,1
nothing,1
oberon,2,1
objects,1
octave,1
omnis,studio,1
openlaszlo,1
opl,1
orca,1
oz,1
pal,1
parrot,1
pawn,1
peoplecode,1
peoplesoft,peoplecode,1
pick,1
piet,1
pilot,1
pilotscript,1
pinp,1
pl,1,1
pl,m,1
pl,m,86,1
pl360,1
planc,1
plc,1
plp,1
pls,1
plus,1
pop,2,1
posix,sh,1
povray,1
powebuilder,1
powerhouse,1
pr,1
progress,4gl,1
progress4gl,1
pv,wave,1
pvwave,1
q,pro,4,1
qbasic,1
qcl,1
qore,1
r83,databasic,1
regex,1
reverse,polish,1
ror,1
rpg,1
rtl,2,1
sail,1
sasl,1
scala,1
scriptlink,proprietary,,1
shell,script,1
sieve,1
simatic,awl,1
smil,1
spp,1
sql,doesn,t,count,,1
squirrel,1
sr,1
staple,1
svg,1
symbian,c,,1
systemrdl,1
tacl,1
tcl,1
tcsh,1
the,above,allows,only,one,language,,1
time,1
tll,1
tsql,1
tt,1
uniface,1
unlambda,1
usability,1
userspeak,1
vim,1
vision,report,1
visual,basic,net,1
visual,objects,1
watfiv,1
whitespace,1
windows,powershell,1
xfst,1
xs,1
xsl,1
xsl.fo,1
xsp,,1
xul,1
yacc,bison,1
yacc,lex,1
lisp,1,1
perl,1,1
psacal,1
vba,1,1
xquery,1,1

